username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019/10/14 14:15;183;109;"La #prensa fue blanco de ataques durante 11 días de protesta. #Fundamedios levantó el último balance de agresiones a los periodistas y medios ecuatorianos hasta el 14 de octubre. Conozca cuántos trabajadores de prensa fueron agredidos mientras cubrían el #ParoNacionalEcuador pic.twitter.com/kZHVNGjwnh";;;#prensa #Fundamedios #ParoNacionalEcuador;"1183823608952623105";https://twitter.com/FUNDAMEDIOS/status/1183823608952623105
;2019/10/13 21:43;84;133;"#ATENCIÓN ESTA NOCHE | Terminada la reunión " #DialogoXLaPaz", transmitiremos #PalabraSueltaxKolectiVOZ. Analizaremos al #EcuadorEnCrisis y además tendremos dos testimonios vivenciales de la brutal represión policial durante las jornadas del #ParoNacionalEcuador. #EcuadorSOSpic.twitter.com/pIDuJvVrAk";;;#ATENCI #DialogoXLaPaz #PalabraSueltaxKolectiVOZ #EcuadorEnCrisis #ParoNacionalEcuador #EcuadorSOSpic;"1183574115611021312";https://twitter.com/kolectiVOZ/status/1183574115611021312
;2019/10/13 20:11;47;111;"Aquellos que nos acusaron de vagos, zánganos, violentos, vándalos y demás denigrantes ESPERAMOS SUS DISCULPAS PUBLICAS! Somos gente preparada, inteligente, trabajadora y sobretodo de comunidad que lucha por el bienestar común! #SomosCONAIE #ElParoNoPara #ParoNacionalEcuador";;;#SomosCONAIE #ElParoNoPara #ParoNacionalEcuador;"1183550884921446400";https://twitter.com/KatikMacas/status/1183550884921446400
;2019/10/13 17:30;66;66;"#LoQueNoVeranEnLaPrensa #ParoNacionalEcuador Ya mismo salen los periodistas “libres e independientes” a decir que, “es marcha por La Paz”. https://twitter.com/ximealito/status/1183506547093180416 …";;;#LoQueNoVeranEnLaPrensa #ParoNacionalEcuador;"1183510235991945218";https://twitter.com/IsmaelUlloa11/status/1183510235991945218
;2019/10/13 17:25;207;176;"#Urgente #ATENCION 16h50 Se reactivan manifestaciones en Loja, se pide derogatoria de Decreto 883 #ParoNacionalEcuador #EcuadorEnResistencia #LoQueNoVeranEnLaPrensahttps://twitter.com/ximealito/status/1183506547093180416 …";;;#Urgente #ATENCION #ParoNacionalEcuador #EcuadorEnResistencia #LoQueNoVeranEnLaPrensahttps;"1183509091752271872";https://twitter.com/ecuainm_oficial/status/1183509091752271872
;2019/10/13 17:19;73;49;"#ULTIMOMOMENTO #Ecuador #EcuadorEnResistencia Reos se toman cárcel en el Cantón Cañar. Podemos decir que todo el mundo está sumado al #ParoNacionalEcuador VAMOS HACERLO VIRAL @AnonsWorldwide @YourMarkLubbers @RayJoha2 @FloryCantoX @Ruptlypic.twitter.com/8zQwRYOUPY";;@AnonsWorldwide @YourMarkLubbers @RayJoha2 @FloryCantoX @Ruptlypic;#ULTIMOMOMENTO #Ecuador #EcuadorEnResistencia #ParoNacionalEcuador;"1183507600878555141";https://twitter.com/ChalecosAmarill/status/1183507600878555141
;2019/10/13 17:15;106;96;"#Ahora | Cacerolazo en Loja Un grupo de ciudadanos recorren las calles de Loja, con cacerolas, en contra de las #MedidasEconómicas #ParoNacionalEcuador #SOSEcuadorpic.twitter.com/leQz9WZU2V";;;#Ahora #MedidasEcon #ParoNacionalEcuador #SOSEcuadorpic;"1183506547093180416";https://twitter.com/ximealito/status/1183506547093180416
;2019/10/13 17:14;228;238;"Pese al Estado de Excepción, pobladores en el sector de Puembo, oriente de Quito, bloquean y retienen a vehículos militares. #ParoNacionalEcuador pic.twitter.com/NuBZyw9xoi";;;#ParoNacionalEcuador;"1183506409687863299";https://twitter.com/relicheandres/status/1183506409687863299
;2019/10/13 16:57;312;242;"Anunciamos a la ciudadanía que el diálogo entre el gobierno y los pueblos indígenas no puede ser transmitido por órden de las FF.AA. Podremos obtener información en la rueda de prensa. Los mantendremos informados. #ParoNacionalEcuador #DialogarEsElCaminoEC #EcuadorEnResistenciapic.twitter.com/aDYWrON7Si";;;#ParoNacionalEcuador #DialogarEsElCaminoEC #EcuadorEnResistenciapic;"1183502092587147268";https://twitter.com/radiolacalle/status/1183502092587147268
;2019/10/13 16:17;65;62;"Asi luce la vía de ingreso hacia el sector de la Mitad del Mundo, al noroccidente de Quito. Cientos de pobladores mantienen bloqueados los acceso a la zona turística, donde está asentada la parroquia San Antonio de Pichincha. #ParoNacionalEcuador pic.twitter.com/NSFZ5877ka";;;#ParoNacionalEcuador;"1183491984041922560";https://twitter.com/relicheandres/status/1183491984041922560
;2019/10/13 15:08;92;83;"Es este momento, voluntarios médicos reportan nuevos actos de violencia en El Arbolito. #ParoNacionalEcuador pic.twitter.com/18SUHtteKS";;;#ParoNacionalEcuador;"1183474653588787200";https://twitter.com/LoloMino/status/1183474653588787200
;2019/10/13 14:20;1345;2099;"Hoy estuvimos más de 300 personas reunidas en #París para expresarle nuestra solidaridad al pueblo pacíficamente movilizado en #Ecuador y denunciar al mundo la injustificada violencia con que el gobierno de @Lenin Moreno ha respondido. #ParoNacionalEcuador ¡Estamos con ustedes! pic.twitter.com/xTagMHzmJB";;@Lenin;#Par #Ecuador #ParoNacionalEcuador;"1183462573246763011";https://twitter.com/AndresChiriEC/status/1183462573246763011
;2019/10/13 14:18;163;213;"#LoQueNoVeranEnLaPrensa #ParoNacionalEcuador Hoy, 3pm hora de Londres-Reino Unido: “Londres está contigo mi Ecuador del alma.” Vía Alegito Vito Pérez. pic.twitter.com/UNEQxmFoa9";;;#LoQueNoVeranEnLaPrensa #ParoNacionalEcuador;"1183461989143724034";https://twitter.com/IsmaelUlloa11/status/1183461989143724034
;2019/10/13 11:03;49;94;"Todo el apoyo a quienes protestan sin descanso en Ecuador contra la subida del CIENTO VEINTITRÉS POR CIENTO en el precio de los combustibles. ¡¡¡123%!!! #Quito #SOSEcuador #ParoNacionalEC #ParoNacionalEcuador #Pichinchapic.twitter.com/RayyvqvMAO";;;#Quito #SOSEcuador #ParoNacionalEC #ParoNacionalEcuador #Pichinchapic;"1183412845477797888";https://twitter.com/Juanmi_News/status/1183412845477797888
