"sitrep","status","corte","cerco","descartado","confirmado","fallecido"
1,"1238572655269330946",2020-03-13 15:00:00,279,NA,23,1
2,"1238647701522321409",2020-03-13 17:00:00,279,NA,23,1
3,"1238941268098592775",2020-03-14 15:00:00,317,NA,28,2
4,"1239228487673810948",2020-03-15 09:00:00,273,51,37,2
5,"1239367431023407107",2020-03-15 18:00:00,273,51,37,2
6,"1239581710729326595",2020-03-16 09:00:00,273,51,58,2
7,"1239678775610216449",2020-03-16 16:00:00,315,51,58,2
8,"1239948244878348288",2020-03-17 08:00:00,451,51,111,2
10,"1240250490912374785",2020-03-18 05:00:00,NA,278,155,2
11,"1240399748751900674",2020-03-18 15:00:00,575,312,168,3
12,"1240655168158515200",2020-03-19 08:00:00,575,336,199,3
13,"1240750001917243392",2020-03-19 16:00:00,746,412,260,4
14,"1241018222079610881",2020-03-20 10:00:00,746,483,367,5
15,"1241123691427176450",2020-03-20 16:00:00,1213,533,426,7
16,"1241379969797967883",2020-03-21 10:00:00,1213,601,506,7
17,"1241485101780926465",2020-03-21 17:00:00,1213,649,532,7
18,"1241761146643853313",2020-03-22 10:00:00,1347,872,789,14
19,"1242105767366406150",2020-03-23 10:00:00,1347,1091,981,18
20,"1242467589147758592",2020-03-24 10:00:00,1347,1211,1049,27
21,"1242581856891146243",2020-03-24 17:00:00,NA,1225,1082,27
22,"1242834504324128775",2020-03-25 10:00:00,NA,1346,1173,28
23,"1242935910028771329",2020-03-25 17:00:00,NA,1387,1211,29
24,"1243194238269034497",2020-03-26 10:00:00,NA,1676,1382,34
25,"1243297352435273730",2020-03-26 17:00:00,NA,1722,1403,34
26,"1243571908878180354",2020-03-27 10:00:00,NA,1889,1595,36
27,"1243660427415912448",2020-03-27 17:00:00,NA,1941,1627,41
28,"1243933711172874241",2020-03-28 10:00:00,NA,2076,1823,48
29,"1244025203014975488",2020-03-28 17:00:00,NA,2100,1835,48
30,"1244295121069395970",2020-03-29 10:00:00,NA,2159,1890,57
31,"1244392094166368256",2020-03-29 17:00:00,NA,2199,1924,58
32,"1244658363570556930",2020-03-30 10:00:00,NA,2223,1962,60
33,"1244748636938010626",2020-03-30 17:00:00,NA,2253,1966,62
34,"1245022617700098049",2020-03-31 10:00:00,NA,2485,2240,75
35,"1245110285461045249",2020-03-31 17:00:00,NA,2526,2302,79
36,"1245382824431104002",2020-04-01 10:00:00,NA,2799,2748,93
37,"1245477204294881287",2020-04-01 17:00:00,NA,2833,2758,98
38,"1245744381564510211",2020-04-02 10:00:00,NA,3139,3163,120
39,"1246107728558395392",2020-04-03 10:00:00,NA,3288,3368,145
40,"1246481814962737153",2020-04-04 10:00:00,NA,3369,3465,172
41,"1246834245731078148",2020-04-05 10:00:00,NA,3603,3646,180
42,"1247193694056448000",2020-04-06 10:00:00,NA,3843,3747,191
43,"1247666860025413633",2020-04-07 17:00:00,NA,3956,3995,220
44,"1247923136265359361",2020-04-08 07:00:00,NA,4208,4450,242
45,"1248275329371770880",2020-04-09 07:00:00,NA,4674,4965,272
46,"1248646235063533570",2020-04-10 07:00:00,NA,6496,7161,297
47,"1249006909488803842",2020-04-11 07:00:00,NA,6944,7257,315
48,"1249374576653619201",2020-04-12 08:00:00,NA,7118,7466,333
49,"1249732582897524737",2020-04-13 08:00:00,NA,7297,7529,355
50,"1250094201418797064",2020-04-14 08:00:00,NA,7495,7603,369
51,"1250456890250858497",2020-04-15 08:00:00,NA,7756,7858,388
52,"1250823734535114753",2020-04-16 08:00:00,NA,7912,8225,403
53,"1251188955317506050",2020-04-17 08:00:00,NA,8075,8450,421
54,"1251544226292207617",2020-04-18 08:00:00,NA,8491,9022,456
55,"1251906978902872064",2020-04-19 08:00:00,NA,8965,9468,474
56,"1252268383766302722",2020-04-20 08:00:00,NA,9732,10128,507
