lat,lon,Nodes
-4.9,-79.1,1081
-4.7,-79.2,1
-4.4,-79.6,1
-4.3,-79.8,9
-4.3,-79.6,139
-4.3,-79.5,8
-4.3,-79.2,1
-4.2,-79.9,32
-4.2,-79.8,300
-4.2,-79.7,40
-4.2,-79.6,320
-4.2,-79.5,1817
-4.2,-79.4,624
-4.2,-79.3,75
-4.2,-79.2,8
-4.1,-79.9,39
-4.1,-79.8,192
-4.1,-79.7,1447
-4.1,-79.6,950
-4.1,-79.5,1533
-4.1,-79.4,965
-4.1,-79.3,168
-4.1,-79,9
-4.1,-78.9,2
-4,-80.3,367
-4,-79.8,1
-4,-79.7,144
-4,-79.6,681
-4,-79.5,1707
-4,-79.4,676
-4,-79.2,74
-4,-78.9,1
-3.9,-79.9,30
-3.9,-79.2,1
-3.9,-78.7,1
-3.7,-80.1,58
-3.7,-79.7,2
-3.7,-79.6,1
-3.6,-80.1,88
-3.6,-79.6,1
-3.6,-79.2,43
-3.5,-80.2,3427
-3.5,-80,1
-3.5,-78.6,1
-3.4,-79.6,30
-3.4,-79.4,84
-3.4,-79.3,116
-3.4,-79.2,2
-3.3,-80,7
-3.3,-79.9,14
-3.3,-79.8,4
-3.3,-79.4,79
-3.3,-79.3,382
-3.2,-79.9,741
-3.2,-79.8,872
-3.2,-79,907
-3.2,-78.9,81
-3.1,-79.9,70
-3.1,-79.8,28
-3.1,-79.2,1
-3.1,-79,24
-3.1,-78.8,1
-3,-79.7,28
-3,-79,3
-3,-78.8,1
-3,-78.4,1
-2.9,-79,87
-2.9,-78.9,526
-2.9,-78.4,23
-2.8,-78.9,124
-2.8,-78.7,1
-2.8,-78.3,18
-2.7,-78.9,144
-2.7,-78.8,7
-2.7,-78.7,836
-2.7,-78.6,151
-2.6,-80.4,3
-2.6,-79,1
-2.6,-78.9,4
-2.6,-78.5,1
-2.5,-79.3,20
-2.5,-78.9,1
-2.5,-78.2,4
-2.4,-79.4,5
-2.4,-79.3,43
-2.4,-78.2,7
-2.4,-78.1,1
-2.3,-80.2,1
-2.3,-79.9,18
-2.3,-79.5,12
-2.3,-79.4,22
-2.3,-78.9,1
-2.3,-78.1,11
-2.2,-81,44
-2.2,-80.9,998
-2.2,-80.8,23
-2.2,-80.1,149
-2.2,-80,198
-2.2,-79.9,155
-2.2,-79.1,1
-2.2,-78.8,1
-2.2,-78.2,3
-2.1,-80,401
-2.1,-79.9,332
-2.1,-79.7,12
-2.1,-79.6,2
-2.1,-78.7,455
-2,-80.7,3
-2,-80.2,144
-2,-80,1
-2,-79.9,3
-2,-79.2,1
-2,-78.3,1
-1.9,-80.7,59
-1.9,-80.3,10
-1.9,-80.2,269
-1.9,-80.1,62
-1.9,-80,2
-1.9,-79.2,3
-1.9,-78.8,1
-1.9,-78.7,2
-1.8,-80.8,440
-1.8,-80.7,412
-1.8,-80.3,50
-1.8,-80.2,608
-1.8,-80.1,150
-1.8,-79.5,4
-1.8,-79.3,1
-1.8,-79.1,1
-1.8,-78.7,1
-1.7,-80.8,28
-1.7,-80.2,218
-1.7,-79,63
-1.7,-78.8,2
-1.7,-78.7,11
-1.7,-78.6,45
-1.6,-80.9,43
-1.6,-80,22
-1.6,-79,34
-1.6,-78.8,1
-1.6,-78.7,196
-1.6,-78.6,498
-1.5,-80.8,13
-1.5,-80.3,342
-1.5,-80.2,131
-1.5,-79.9,164
-1.5,-78.6,1330
-1.5,-78.1,2
-1.5,-78,4
-1.5,-77.8,1
-1.4,-80.7,1
-1.4,-80.6,95
-1.4,-80.5,12
-1.4,-80.4,1
-1.4,-80.2,1
-1.4,-79,1
-1.4,-78.6,1
-1.4,-78.4,6
-1.3,-80.8,1650
-1.3,-80.7,3879
-1.3,-80.6,258
-1.3,-80.5,62
-1.3,-80.4,108
-1.3,-80.3,7
-1.3,-80.2,3
-1.3,-79,2
-1.3,-78.8,452
-1.3,-78.6,368
-1.3,-78.5,250
-1.3,-78.4,19
-1.2,-80.9,923
-1.2,-80.8,6389
-1.2,-80.7,5838
-1.2,-80.6,2893
-1.2,-80.5,8116
-1.2,-80.4,8028
-1.2,-80.3,348
