timestamp,Nodes,Relations,Ways
2016-04-17T12:00:00Z,2677,15,301
2016-04-18T00:00:00Z,41425,1,8307
2016-04-18T12:00:00Z,69494,2,10853
2016-04-19T00:00:00Z,224140,17,49216
2016-04-19T12:00:00Z,100582,13,18500
2016-04-20T00:00:00Z,180071,11,31298
2016-04-20T12:00:00Z,67939,5,13125
2016-04-21T00:00:00Z,131687,13,22913
2016-04-21T12:00:00Z,60072,5,9441
2016-04-22T00:00:00Z,92696,10,15425
2016-04-22T12:00:00Z,59702,4,11362
2016-04-23T00:00:00Z,139647,6,26416
2016-04-23T12:00:00Z,46619,25,6297
2016-04-24T00:00:00Z,75903,12,10961
2016-04-24T12:00:00Z,59947,0,8328
2016-04-25T00:00:00Z,60913,7,8314
2016-04-25T12:00:00Z,46642,3,6939
2016-04-26T00:00:00Z,73476,6,11412
2016-04-26T12:00:00Z,47691,1,6559
2016-04-27T00:00:00Z,64687,7,9970
2016-04-27T12:00:00Z,36744,2,5461
2016-04-28T00:00:00Z,51316,4,7365
2016-04-28T12:00:00Z,46255,5,6473
2016-04-29T00:00:00Z,64437,3,7977
2016-04-29T12:00:00Z,23834,2,3168
2016-04-30T00:00:00Z,39395,3,3960
2016-04-30T12:00:00Z,33194,2,3275
2016-05-01T00:00:00Z,35249,2,3701
2016-05-01T12:00:00Z,17093,5,1780
2016-05-02T00:00:00Z,18506,2,1955
2016-05-02T12:00:00Z,25560,2,2724
2016-05-03T00:00:00Z,28338,4,5427
2016-05-03T12:00:00Z,17366,0,2393
2016-05-04T00:00:00Z,24392,4,3590
2016-05-04T12:00:00Z,16949,2,2151
2016-05-05T00:00:00Z,21748,0,2705
2016-05-05T12:00:00Z,15878,1,1877
2016-05-06T00:00:00Z,16416,16,2043
2016-05-06T12:00:00Z,21023,4,2184
2016-05-07T00:00:00Z,8642,4,780
2016-05-07T12:00:00Z,6686,0,311
2016-05-08T00:00:00Z,10076,0,823
2016-05-08T12:00:00Z,22395,21,1295
2016-05-09T00:00:00Z,12013,34,992
