user,Nodes,Ways,Relations
Patchi,74119,3783,12
seichter,43883,7731,7
Cascafico,41168,8919,9
piaco_dk,38876,7967,0
johnyfelipe,37433,7819,3
David Rule,35544,3999,4
Lorena Burbano,34475,6250,0
GeoFrizz,33053,7225,0
mjgk,29960,4359,0
D_i_m,29290,5463,2
cucu,29079,5299,2
zwombie,28617,2935,3
vichada,27862,5146,3
Que82,26979,2623,0
Dewi Sulistioningrum,26395,2186,0
LLAQWA,24874,2980,21
juane90,21208,3764,1
linap,20426,3030,0
Athalis,20145,2519,7
tonybendell,17311,2526,0
jose_ecu,17256,1598,0
Nedran,16950,2182,3
luiswoo,16657,556,0
Luis36995,16533,4217,0
raniedwianugrah,15742,2643,0
seike_,15739,2204,0
Sebastián Oviedo,15319,3053,0
jharps,13162,2154,5
eireidium,12919,1441,0
parukhin,12359,1741,0
de vries,12321,1524,1
LSot,12292,855,2
carfog81,11752,907,7
karitotp,11546,2674,1
Johnwhelan,11463,1833,0
25or6to4,11441,1097,0
SandiaPixel,11393,1458,1
hebolz,11307,1095,0
dcaaveiro,11178,555,0
RichRico,10891,3062,0
JuanCarlosCalderon,10755,2416,0
Hernan,10020,1848,0
temporalista,10007,1704,1
Liz KOS,9682,646,0
kingrollo,9665,557,1
rab,8958,1252,3
charel-e,8949,1745,0
PierZen,8861,743,0
miniwark,8847,742,8
rlaurentinus,8546,1233,0
gwmath,8538,1192,0
samely,8058,1662,2
edtha,7857,1424,0
kittitorn,7758,1491,0
mltt,7559,1673,0
mcyc,7444,1242,1
Ben Allard,7150,1214,0
DannyAiquipa,7069,1468,0
tekim,7060,490,1
SReed,7053,1203,0
bohnenstange,6928,902,0
calfarome,6818,1454,0
Lamsbach,6787,912,0
Adrixza,6716,690,0
josepgesti,6546,819,0
maptos,6525,1271,0
hansemann1234,6478,1529,0
litlplastkastl,6238,1012,0
rene78,6102,845,0
Ecuador Tur,6068,345,0
AngocA,5978,1017,0
ediyes,5859,1261,1
Bonix-Mapper,5693,1091,7
Saskia_Arup,5673,796,0
Xavier Riofrio,5666,1106,0
LeTopographeFou,5662,1048,0
funk_soul_brother,5555,851,0
JinethRZ,5528,694,0
Pierre Mirlesse,5372,1285,0
arnau_valencia,5371,711,2
Mar Mar,5318,345,0
Polyglot,5259,470,0
fabrey,5229,1128,0
mgermanw,5200,770,0
fmoine,5187,1049,0
Michael Boyles,5150,475,0
Graeme Herbert,5133,756,0
Super-Map,5094,1011,0
monyk,5047,1111,0
aba2015,5004,939,0
Philippe Sampont,4973,616,0
niet_o_rellana,4962,1255,0
Flawsome,4769,327,0
yann31,4765,655,0
derFred,4658,1035,0
Maxmor,4655,395,0
lanxana,4623,1230,0
andygol,4602,83,0
johnarupire,4525,1103,0
Vincent Bombaerts,4455,841,0
cobayotech,4443,645,1
Sunfishtommy,4425,469,4
phin,4348,536,0
delfin_6,4302,993,0
JeopardyTempest,4202,891,0
RAytoun,4164,661,0
jpovedaf,3980,969,0
crisv,3968,989,1
aero97,3956,994,0
ninjamask,3944,402,0
mapwitch,3934,237,0
agranizo,3824,450,1
Blarneystone,3819,821,0
Alan Bragg,3787,735,0
christtatao,3725,179,0
Zerrossetto,3556,651,0
twirth,3533,352,0
geo51,3526,312,0
Daniel Specht,3423,834,1
diarodriguezva,3400,675,0
dkunce,3387,393,0
Ricardo Rengel J,3377,313,0
James Michael DuPont,3363,556,3
Leonardo Gutierrez,3353,597,0
Karisa,3346,1113,0
Ximefeer,3299,454,0
gavg712,3293,269,0
Takuto,3263,389,0
colargol,3242,421,0
hulagirl14,3236,125,0
dkunce_import,3206,1891,0
NathalieCeron,3158,359,0
Gaby Ayala,3157,333,0
